Perro	Dog
Gato	Cat
Elefante	Elephant
León	Lion
Jirafa	Giraffe
Mono	Monkey
Tigre	Tiger
Zorro	Fox
Oso	Bear
Cebra	Zebra
Serpiente	Snake
Tortuga	Turtle
Pato	Duck
Conejo	Rabbit
Rana	Frog
Caballo	Horse
Pez	Fish
Tiburón	Shark
Ballena	Whale
Delfín	Dolphin
Lobo	Wolf
Gorila	Gorilla
Rinoceronte	Rhinoceros
Cocodrilo	Crocodile
Águila	Eagle
Murciélago	Bat
Ardilla	Squirrel
Mariposa	Butterfly
Abeja	Bee
Araña	Spider
Halcón	Falcon
Rata	Rat
Cuervo	Crow
Gaviota	Seagull
Búho	Owl
Colibrí	Hummingbird
Mosquito	Mosquito
Hormiga	Ant
Caracol	Snail
Gallo	Rooster
Pavo	Turkey
Pingüino	Penguin
Cangrejo	Crab
Pulpo	Octopus
Sapo	Toad
Oveja	Sheep
Cabra	Goat
Vaca	Cow
Cerdo	Pig
Gallo	Chicken
Ratón	Mouse
Topo	Mole
Erizo	Hedgehog
Lince	Lynx
Nutria	Otter
Comadreja	Weasel
Tejón	Badger
Zarigüeya	Opossum
Mapache	Raccoon
Armadillo	Armadillo
Iguana	Iguana
Salamandra	Salamander
Lagarto	Lizard
Escorpión	Scorpion
Tarántula	Tarantula
Quetzal	Quetzal
Colibrí	Hummingbird
Loro	Parrot
Perico	Parakeet
Tucán	Toucan
Paloma	Dove
Buitre	Vulture
Águila	Eagle
Albatros	Albatross
Cóndor	Condor
Flamenco	Flamingo
Pavo real	Peacock
Ánade	Mallard
Garza	Heron
Flamenco	Flamingo
Cisne	Swan
Ganso	Goose
Pato	Duck
Búho	Owl
Lechuza	Barn owl
Águila pescadora	Osprey
Águila real	Golden eagle
Águila calva	Bald eagle
Halcón peregrino	Peregrine falcon
Cernícalo	Kestrel
Cuervo	Raven
Mirlo	Blackbird
Tordo	Thrush
Ruiseñor	Nightingale
Gorrión	Sparrow
Pinzón	Finch
Jilguero	Goldfinch
Canario	Canary
Pájaro carpintero	Woodpecker
Petirrojo	Robin
