Sure, here are 100 Spanish words related to the category "family" along with their English translations, separated by tabulators:

```
Familia	Family
Padre	Father
Madre	Mother
Hijo	Son
Hija	Daughter
Hermano	Brother
Hermana	Sister
Abuelo	Grandfather
Abuela	Grandmother
Nieto	Grandson
Nieta	Granddaughter
Tío	Uncle
Tía	Aunt
Primo	Cousin (male)
Prima	Cousin (female)
Sobrino	Nephew
Sobrina	Niece
Esposo	Husband
Esposa	Wife
Marido	Husband
Mujer	Woman
Cónyuge	Spouse
Novio	Boyfriend
Novia	Girlfriend
Prometido	Fiancé
Prometida	Fiancée
Matrimonio	Marriage
Boda	Wedding
Aniversario	Anniversary
Divorcio	Divorce
Separación	Separation
Pareja	Couple
Paternidad	Parenthood
Paterna	Paternity
Maternidad	Maternity
Materna	Maternity
Nacimiento	Birth
Embarazo	Pregnancy
Parto	Delivery
Adopción	Adoption
Hogar	Home
Parentesco	Relationship
Relaciones familiares	Family relationships
Parental	Parental
Crianza	Upbringing
Educación	Education
Convivencia	Cohabitation
Compañero de vida	Life partner
Familia extensa	Extended family
Familia nuclear	Nuclear family
Familia monoparental	Single-parent family
Familia adoptiva	Adoptive family
Hogar de ancianos	Nursing home
Guardería	Daycare
Hermanastro	Stepbrother
Hermanastra	Stepsister
Padrastro	Stepfather
Madrastra	Stepmother
Hijastro	Stepson
Hijastra	Stepdaughter
Padres adoptivos	Adoptive parents
Padre soltero	Single father
Madre soltera	Single mother
Hijos adoptivos	Adopted children
Hijo biológico	Biological son
Hija biológica	Biological daughter
Familia política	In-laws
Suegro	Father-in-law
Suegra	Mother-in-law
Cuñado	Brother-in-law
Cuñada	Sister-in-law
Yerno	Son-in-law
Nuera	Daughter-in-law
Familia numerosa	Large family
Familia pequeña	Small family
Cónyuge sobreviviente	Surviving spouse
Antepasados	Ancestors
Descendientes	Descendants
Herencia	Inheritance
Testamento	Will
Tutoría	Guardianship
